"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"buildroot","2024.02.10","GPL-2.0+","COPYING","not saved","not saved",""
"gcc-final","8.4.0","GPL-2.0, GPL-3.0, LGPL-2.1, LGPL-3.0","COPYING COPYING3 COPYING.LIB COPYING3.LIB","gcc-8.4.0.tar.xz","https://ftpmirror.gnu.org/gcc/gcc-8.4.0","host-binutils [GPL-3.0+, libiberty LGPL-2.1+] host-gcc-initial [GPL-2.0, GPL-3.0, LGPL-2.1, LGPL-3.0] host-gmp [LGPL-3.0+ or GPL-2.0+] host-m4 [GPL-3.0+] host-mpc [LGPL-3.0+] host-mpfr [LGPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"binutils","2.40","GPL-3.0+, libiberty LGPL-2.1+","COPYING3 COPYING.LIB","binutils-2.40.tar.xz","https://ftpmirror.gnu.org/binutils","host-skeleton [unknown] host-tar [GPL-3.0+]"
"tar","1.34","GPL-3.0+","COPYING","tar-1.34.cpio.gz","https://ftpmirror.gnu.org/tar","host-skeleton [unknown]"
"gmp","6.3.0","LGPL-3.0+ or GPL-2.0+","COPYING.LESSERv3 COPYINGv2","gmp-6.3.0.tar.xz","https://ftpmirror.gnu.org/gmp","host-m4 [GPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+]"
"m4","1.4.19","GPL-3.0+","COPYING","m4-1.4.19.tar.xz","https://ftpmirror.gnu.org/m4","host-skeleton [unknown] host-tar [GPL-3.0+]"
"mpc","1.2.1","LGPL-3.0+","COPYING.LESSER","mpc-1.2.1.tar.gz","https://ftpmirror.gnu.org/mpc","host-gmp [LGPL-3.0+ or GPL-2.0+] host-m4 [GPL-3.0+] host-mpfr [LGPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+]"
"mpfr","4.1.1","LGPL-3.0+","COPYING.LESSER","mpfr-4.1.1.tar.xz","http://www.mpfr.org/mpfr-4.1.1","host-gmp [LGPL-3.0+ or GPL-2.0+] host-m4 [GPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+]"
"gcc-initial","8.4.0","GPL-2.0, GPL-3.0, LGPL-2.1, LGPL-3.0","COPYING COPYING3 COPYING.LIB COPYING3.LIB","gcc-8.4.0.tar.xz","https://ftpmirror.gnu.org/gcc/gcc-8.4.0","host-binutils [GPL-3.0+, libiberty LGPL-2.1+] host-gmp [LGPL-3.0+ or GPL-2.0+] host-m4 [GPL-3.0+] host-mpc [LGPL-3.0+] host-mpfr [LGPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+]"
"bison","3.8.2","GPL-3.0+","COPYING","bison-3.8.2.tar.xz","https://ftpmirror.gnu.org/bison","host-m4 [GPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+]"
"flex","2.6.4","FLEX","COPYING","flex-2.6.4.tar.gz","https://github.com/westes/flex/files/981163","host-autoconf [GPL-3.0+ with exceptions] host-automake [GPL-2.0+] host-gettext-tiny [MIT, GPL-3.0+ (extra gettext)] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-m4 [GPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+]"
"autoconf","2.72","GPL-3.0+ with exceptions","COPYINGv3 COPYING.EXCEPTION","autoconf-2.72.tar.xz","https://ftpmirror.gnu.org/autoconf","host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-m4 [GPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+]"
"libtool","2.4.6","GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)","COPYING libltdl/COPYING.LIB","libtool-2.4.6.tar.xz","https://ftpmirror.gnu.org/libtool","host-m4 [GPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+]"
"automake","1.16.5","GPL-2.0+","COPYING","automake-1.16.5.tar.xz","https://ftpmirror.gnu.org/automake","host-autoconf [GPL-3.0+ with exceptions] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-m4 [GPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+]"
"gettext-tiny","0.3.2","MIT, GPL-3.0+ (extra gettext)","LICENSE extra/COPYING","gettext-tiny-0.3.2.tar.gz","https://github.com/sabotage-linux/gettext-tiny/archive/v0.3.2","host-skeleton [unknown] host-tar [GPL-3.0+]"
"pkgconf","1.6.3","pkgconf license","COPYING","pkgconf-1.6.3.tar.xz","https://distfiles.ariadne.space/pkgconf","host-skeleton [unknown] host-tar [GPL-3.0+]"
"file","5.45","BSD-2-Clause, BSD-4-Clause (one file), BSD-3-Clause (one file)","COPYING src/mygetopt.h src/vasprintf.c","file-5.45.tar.gz","https://astron.com/pub/file","host-autoconf [GPL-3.0+ with exceptions] host-automake [GPL-2.0+] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-libzlib [Zlib] host-m4 [GPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+]"
"libzlib","1.3.1","Zlib","LICENSE","zlib-1.3.1.tar.xz","https://www.zlib.net","host-skeleton [unknown] host-tar [GPL-3.0+]"
"ncurses","6.4-20230603","MIT with advertising clause","COPYING","ncurses-6.4-20230603.tar.gz","https://github.com/ThomasDickey/ncurses-snapshots/archive/v6_4_20230603","host-skeleton [unknown] host-tar [GPL-3.0+]"
"cmake","3.28.3","BSD-3-Clause","Copyright.txt","cmake-3.28.3.tar.gz","https://cmake.org/files/v3.28","host-skeleton [unknown] host-tar [GPL-3.0+]"
"kmod","31","LGPL-2.1+ (library)","libkmod/COPYING","kmod-31.tar.xz","https://cdn.kernel.org/pub/linux/utils/kernel/kmod","host-pkgconf [pkgconf license] host-skeleton [unknown] host-tar [GPL-3.0+]"
"lzip","1.23","GPL-2.0+","COPYING","lzip-1.23.tar.gz","http://download.savannah.gnu.org/releases/lzip","host-skeleton [unknown] host-tar [GPL-3.0+]"
