"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"gcc-final","8.4.0","GPL-3.0-with-GCC-exception","COPYING.RUNTIME","gcc-8.4.0.tar.xz","https://ftpmirror.gnu.org/gcc/gcc-8.4.0","linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"uclibc","1.0.45","LGPL-2.1+","COPYING.LIB","uClibc-ng-1.0.45.tar.xz","https://downloads.uclibc-ng.org/releases/1.0.45","linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"linux-headers","6.1.44","GPL-2.0","","linux-6.1.44.tar.xz","https://cdn.kernel.org/pub/linux/kernel/v6.x","skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"busybox","1.36.1","GPL-2.0, bzip2-1.0.4","LICENSE archival/libarchive/bz/LICENSE","busybox-1.36.1.tar.bz2","https://www.busybox.net/downloads","file [BSD-2-Clause, BSD-4-Clause (one file), BSD-3-Clause (one file)] gcc-final [GPL-3.0-with-GCC-exception] iproute2 [GPL-2.0+] libzlib [Zlib] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+] util-linux [GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid), BSD-2-Clause (xxhash), ISC (rfkill)]"
"iproute2","6.7.0","GPL-2.0+","COPYING","iproute2-6.7.0.tar.xz","https://cdn.kernel.org/pub/linux/utils/net/iproute2","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"util-linux","2.39.3","GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid), BSD-2-Clause (xxhash), ISC (rfkill)","README.licensing Documentation/licenses/COPYING.BSD-3-Clause Documentation/licenses/COPYING.BSD-4-Clause-UC Documentation/licenses/COPYING.GPL-2.0-or-later Documentation/licenses/COPYING.ISC Documentation/licenses/COPYING.LGPL-2.1-or-later","util-linux-2.39.3.tar.xz","https://cdn.kernel.org/pub/linux/utils/util-linux/v2.39","file [BSD-2-Clause, BSD-4-Clause (one file), BSD-3-Clause (one file)] gcc-final [GPL-3.0-with-GCC-exception] libzlib [Zlib] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"file","5.45","BSD-2-Clause, BSD-4-Clause (one file), BSD-3-Clause (one file)","COPYING src/mygetopt.h src/vasprintf.c","file-5.45.tar.gz","https://astron.com/pub/file","gcc-final [GPL-3.0-with-GCC-exception] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"libzlib","1.3.1","Zlib","LICENSE","zlib-1.3.1.tar.xz","https://www.zlib.net","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"ncurses","6.4-20230603","MIT with advertising clause","COPYING","ncurses-6.4-20230603.tar.gz","https://github.com/ThomasDickey/ncurses-snapshots/archive/v6_4_20230603","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"coremark","1.01","Apache-2.0","LICENSE.md","coremark-1.01.tar.gz","https://github.com/eembc/coremark/archive/v1.01","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"dhcpcd","10.0.8","BSD-2-Clause","LICENSE","dhcpcd-10.0.8.tar.xz","https://github.com/NetworkConfiguration/dhcpcd/releases/download/v10.0.8","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"dhrystone","2","unknown","","dhry-c","http://www.netlib.org/benchmark","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"dnsmasq","2.90","GPL-2.0 or GPL-3.0","COPYING COPYING-v3","dnsmasq-2.90.tar.xz","https://thekelleys.org.uk/dnsmasq","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"ethtool","6.6","GPL-2.0","LICENSE COPYING","ethtool-6.6.tar.xz","https://cdn.kernel.org/pub/software/network/ethtool","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"firmware-utils","86739f2b3ae9502368b89ef37fa6f31c42aad6f4","BSD-2-Clause (tplink-safeloader), BSD-3-Clause (seama), GPL-2.0 (add_header, bcmalgo, buffalo-enc, buffalo-lib, buffalo-tag, buffalo-tftp, dgfirmware, dns313-header, edimax_fw_header, fix-u-media-header, hcsmakeimage, mkbrncmdline, mkbrnimg, mkbuffaloimg, mkcameofw, mkcasfw, mkdapimg, mkdapimg2, mkdhpimg, mkdniimg, mkhilinkfw, mkmerakifw-old, mkmerakifw, mkplanexfw, mkporayfw, mkrasimage, mkrtn56uimg, mksenaofw, mksercommfw, mktitanimg, mktplinkfw-lib, mktplinkfw, mktplinkfw2, mkwrggimg, mkwrgimg, mkzcfw, mkzynfw, mkzyxelzldfw osbridge-crc, pc1crypt, srec2bin, trx2edips, uimage_padhdr, wrt400n, zyimage, zytrx), GPL-2.0+ (addpattern, asustrx, bcm4908asus, bcm4908kernel, dgn3500sum, encode_crc, jcgimage, lzma2eva, makeamitbin, mkchkimg, mkcsysimg, mkdlinkfw-lib, mkdlinkfw, mkedimaximg, mkfwimage, mkfwimage2, mkheader_gemtek, mkmylofw, motorola-bin, nec-enc, oseama, otrx, ptgen, sign_dlink_ru, spw303v, trx, uimage_sgehdr, xiaomifw, xorimage, zyxbcm), GPL-2.0 OR GPL-3.0 (nand_ecc), GPL-2.0+ OR MIT (lxlfw), UNKNOWN (imagetag, trx2usr)","","firmware-utils-86739f2b3ae9502368b89ef37fa6f31c42aad6f4-br1.tar.gz","https://git.openwrt.org/project/firmware-utils.git","gcc-final [GPL-3.0-with-GCC-exception] libopenssl [Apache-2.0] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"libopenssl","3.2.3","Apache-2.0","LICENSE.txt","openssl-3.2.3.tar.gz","https://github.com/openssl/openssl/releases/download/openssl-3.2.3","gcc-final [GPL-3.0-with-GCC-exception] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"htop","3.3.0","GPL-2.0+","COPYING","htop-3.3.0.tar.xz","https://github.com/htop-dev/htop/releases/download/3.3.0","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"libtool","2.4.6","LGPL-2.1+","libltdl/COPYING.LIB","libtool-2.4.6.tar.xz","https://ftpmirror.gnu.org/libtool","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"make","4.4.1","GPL-3.0+","COPYING","make-4.4.1.tar.lz","https://ftpmirror.gnu.org/make","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"openssh","9.7p1","BSD-3-Clause, BSD-2-Clause, Public Domain","LICENCE","openssh-9.7p1.tar.gz","http://ftp.openbsd.org/pub/OpenBSD/OpenSSH/portable","gcc-final [GPL-3.0-with-GCC-exception] libopenssl [Apache-2.0] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"pkgconf","1.6.3","pkgconf license","COPYING","pkgconf-1.6.3.tar.xz","https://distfiles.ariadne.space/pkgconf","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"zip","3.0","Info-ZIP","LICENSE","zip30.tar.gz","https://sourceforge.net/projects/infozip/files/Zip%203.x%20%28latest%29/3.0","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"linux","6.1.44","GPL-2.0","","linux-6.1.44.tar.xz","https://cdn.kernel.org/pub/linux/kernel/v6.x","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
